invoice_id,invoice_number,date,vendor,num_line_items,quantity,unit_price,line_total,grand_total,math_valid,date_status,is_anomaly,rule_anomaly_reason,ml_anomaly_reason,anomaly_reason
1,INV-2001,21/06/2026,TechSupplies Co.,1,8,275.0,2200.0,2200.0,True,VALID,False,None,None,None
2,INV-2002,22/06/2026,OfficeMart Ltd.,1,10,190.0,1900.0,1900.0,True,VALID,False,None,None,None
3,INV-2003,22/06/2026,GlobalParts Inc.,1,12,185.0,2220.0,2220.0,True,VALID,False,None,None,None
4,INV-2004,23/06/2026,Skyline Logistics,1,1,6100.0,6100.0,6100.0,True,VALID,False,None,None,None
5,INV-2026-001,05/06/2026,TechSupplies Co.,2,1,505.0,505.0,729.1,True,VALID,False,None,None,None
6,INV-2026-002,24/06/2026,TechSupplies Co.,1,7,220.5,1543.5,1543.5,True,VALID,False,None,None,None
7,INV-2026-003,20/06/2026,TechSupplies Co.,3,4,59.52,238.08,550.16,True,VALID,False,None,None,None
8,INV-2026-004,23/06/2026,TechSupplies Co.,1,1,612.25,612.25,612.25,True,VALID,False,None,None,None
9,INV-2026-005,26/06/2026,TechSupplies Co.,2,6,283.9,1703.4,2060.16,True,VALID,False,None,None,None
10,INV-2026-006,11/06/2026,TechSupplies Co.,2,10,35.18,351.8,867.28,True,VALID,False,None,None,None
11,INV-2026-007,28/06/2026,TechSupplies Co.,3,4,531.1,2124.4,2961.16,True,FUTURE_DATE,True,Invoice date is in the future,None,Invoice date is in the future
12,INV-2026-008,26/06/2026,TechSupplies Co.,1,10,60.19,601.9,601.9,True,VALID,False,None,None,None
13,INV-2026-009,13/06/2026,TechSupplies Co.,2,4,131.08,524.32,879.46,True,VALID,False,None,None,None
14,INV-2026-010,28/06/2026,TechSupplies Co.,2,1,610.41,610.41,1219.71,True,FUTURE_DATE,True,Invoice date is in the future,None,Invoice date is in the future
15,INV-2026-011,08/06/2026,OfficeMart Ltd.,2,8,157.74,1261.92,1358.82,True,VALID,False,None,None,None
16,INV-2026-012,28/06/2026,OfficeMart Ltd.,1,19,19.82,376.58,376.58,True,FUTURE_DATE,True,Invoice date is in the future,None,Invoice date is in the future
17,INV-2026-013,21/06/2026,OfficeMart Ltd.,2,3,166.65,499.95,847.25,True,VALID,False,None,None,None
18,INV-2026-014,12/06/2026,OfficeMart Ltd.,1,10,116.27,1162.7,1162.7,True,VALID,False,None,None,None
19,INV-2026-015,06/06/2026,OfficeMart Ltd.,2,11,31.75,349.25,609.52,True,VALID,False,None,None,None
20,INV-2026-016,21/06/2026,OfficeMart Ltd.,3,7,101.04,707.28,1443.63,True,VALID,False,None,None,None
21,INV-2026-017,25/06/2026,OfficeMart Ltd.,2,9,155.69,1401.21,1763.41,True,VALID,False,None,None,None
22,INV-2026-018,02/06/2026,OfficeMart Ltd.,1,3,102.9,308.7,308.7,True,VALID,False,None,None,None
23,INV-2026-019,19/06/2026,OfficeMart Ltd.,2,10,72.08,720.8,1253.9,True,VALID,False,None,None,None
24,INV-2026-020,21/06/2026,OfficeMart Ltd.,2,30,10.55,316.5,640.07,True,VALID,False,None,None,None
25,INV-2026-021,18/06/2026,GlobalParts Inc.,2,10,235.72,2357.2,2566.22,True,VALID,False,None,None,None
26,INV-2026-022,19/06/2026,GlobalParts Inc.,1,6,202.55,1215.3,1215.3,True,VALID,False,None,None,None
27,INV-2026-023,05/06/2026,GlobalParts Inc.,2,4,569.35,2277.4,2742.88,True,VALID,False,None,None,None
28,INV-2026-024,05/06/2026,GlobalParts Inc.,2,12,323.38,3880.56,4525.0,True,VALID,False,None,None,None
29,INV-2026-025,22/06/2026,GlobalParts Inc.,1,40,13.2,528.0,528.0,True,VALID,True,None,Flagged by Isolation Forest model,Flagged by Isolation Forest model
30,INV-2026-026,18/06/2026,GlobalParts Inc.,3,5,478.92,2394.6,4660.92,True,VALID,False,None,None,None
31,INV-2026-027,18/06/2026,GlobalParts Inc.,2,3,286.06,858.18,1165.37,True,VALID,False,None,None,None
32,INV-2026-028,11/06/2026,GlobalParts Inc.,1,9,392.15,3529.35,3529.35,True,VALID,False,None,None,None
33,INV-2026-029,24/06/2026,GlobalParts Inc.,2,1,388.05,388.05,869.53,True,VALID,False,None,None,None
34,INV-2026-030,04/06/2026,GlobalParts Inc.,2,23,29.44,677.12,1657.88,True,VALID,False,None,None,None
35,INV-2026-031,10/06/2026,Skyline Logistics,1,1,7111.56,7111.56,7111.56,True,VALID,False,None,None,None
36,INV-2026-032,07/06/2026,Skyline Logistics,2,1,7025.01,7025.01,8032.67,True,VALID,False,None,None,None
37,INV-2026-033,25/06/2026,Skyline Logistics,1,1,4958.52,4958.52,4958.52,True,VALID,False,None,None,None
38,INV-2026-034,25/06/2026,Skyline Logistics,1,2,661.55,1323.1,1323.1,True,VALID,False,None,None,None
39,INV-2026-035,01/06/2026,Skyline Logistics,1,1,7267.3,7267.3,7267.3,True,VALID,False,None,None,None
40,INV-2026-036,04/06/2026,Skyline Logistics,2,1,6296.83,6296.83,7285.44,True,VALID,False,None,None,None
41,INV-2026-037,27/06/2026,Skyline Logistics,1,1,7287.3,7287.3,7287.3,True,FUTURE_DATE,True,Invoice date is in the future,None,Invoice date is in the future
